,primary_tonnage,bd_opp_total_err,kgCO2_per_kg,exp_extinctions_per_kg,exp_extinctions_err_per_kg,scarcity_weighted_water_use_litres_per_kg
Potatoes,5969583.623943651,0.0013283232967624477,0.31253414211836933,7.514252353083448e-13,2.2251523396617153e-13,4.09511472553992
Pulses nes,189396.1064069735,0.0002694241180365059,0.11027249302939816,1.7540337084465554e-12,1.4225430667384923e-12,0.3125892854828825
Pumpkins; squash and gourds,98541.8684716342,0.0009881635074954493,0.46955428306886243,3.986298218015551e-11,1.0027854381306942e-11,44.43279102993842
Quinces,538.3264827878085,6.585399324061792e-06,0.6187441258564843,3.147027081543949e-11,1.2233095592767916e-11,57.47355361485236
Quinoa,5856.9755333293815,0.0013887684869382298,0.2300481348400834,4.3442425024154904e-10,2.3711358858089477e-10,4.362141701394101
Rapeseed,2240450.490092987,0.009732746861582113,1.2713781820032077,6.724035504570957e-12,4.344102627850601e-12,2.805017224710122
Raspberries,44050.13489218019,0.00034342190434638603,1.2882096440663557,1.2092225368044789e-11,7.796160106818437e-12,44.104103535630394
Rice; paddy,601277.89,0.04678842355492177,3.628431817971699,1.531246095878327e-10,7.78149742956984e-11,33.292986738909356
Sesame seed,10652.794691983709,0.014278692029345137,1.3944051952103247,1.893401403847699e-09,1.3403705264394082e-09,19.93252790019364
Soybeans,3778928.5952755096,0.01385538761580157,0.053839206932505775,9.474734816192919e-12,3.6664856893892745e-12,0.7813844398583492
Spices nes,12426.869999999997,0.0046067702024205764,12.126883434849658,7.861656954602318e-10,3.7071042043737306e-10,33.56871240305887
Spinach,51803.82209838591,5.6746438314301163e-05,0.17035156515634392,3.883183030760449e-12,1.0954102615542196e-12,18.10179324983368
Strawberries,199377.43212215122,0.0002563666585176183,1.2395172106088268,2.255302710680643e-12,1.2858358932045624e-12,21.422040535275183
Sunflower seed,870862.0525693607,0.004931156362293594,0.3131197670453556,1.0554505695512343e-11,5.662385159331359e-12,5.61133377526092
Tangerines; mandarins; clementines; satsumas,275870.91832018713,0.0033824733491047603,0.3500371824357551,5.492144468696848e-11,1.2261072568653004e-11,64.55822408128785
Tea,96799.92808366877,0.023033520253090117,7.589299938810716,6.460482368731942e-10,2.3794976617318507e-10,16.0004041503829
Tomatoes,1912431.0779736158,0.0021025803607922877,1.6495383090768723,3.652745467234041e-12,1.0994280447586908e-12,53.178979587681376
Vegetables; fresh nes,1935055.0029230497,0.11617485320465652,0.5427375018382447,7.301939482866497e-11,6.003697725861304e-11,40.63050382172251
Vegetables; leguminous nes,1935055.0029230497,0.11617485320465652,0.5427375018382447,7.301939482866497e-11,6.003697725861304e-11,40.63050382172251
Walnuts; with shell,9138.29,0.0011794061131215048,1.335503046009311,3.278746958266066e-10,1.2906201413191143e-10,42.79125368648839
Watermelons,157521.314473354,0.005819636848700042,0.8589132287295487,6.682147178906682e-11,3.694507545316657e-11,45.25677743479253
Wheat,17518241.42134771,0.021843381848767742,1.0356431572593123,2.83931980040222e-12,1.2468935279171015e-12,3.0519368168853234
Sugar cane,3426188.07887021,0.13309734196194342,2.7630074118042476,4.7740286530072444e-11,3.8847062361454615e-11,20.79944653660648
Oil palm fruit,3879240.3762290934,0.2633928095661655,5.759551639510272,1.6838450151609316e-10,6.789803776537371e-11,18.509481386979036
Sugar beet,8358318.987432027,0.0016696659625801721,1.4206895895283875,4.745447889857982e-13,1.9976097647035997e-13,6.843424728436636
Cassava,12260.505410205018,0.00035329437506235767,1.2962447009836635,8.982019063323451e-11,2.8815645296995138e-11,19.489681907240747
Cheese,16883219.93,0.08290498097289847,2.9513397113922566,2.395728671478095e-11,4.910495824649159e-12,10.43964519236105
"Butter, Cream & Ghee",16883219.93,0.08290498097289847,2.9513397113922566,2.395728671478095e-11,4.910495824649159e-12,10.43964519236105
Water,0,0,0,0,0,0
Fish,0,0,0,0,0,0
Crustaceans,0,0,0,0,0,0
