,kg,kgCO2,exp_extinctions,swwu,exp_extinctions_err,exp_extinctions_per_kg,kgCO2_per_kg,swwu_per_kg,exp_extinctions_per_kg_err,group_name_v7
Mushrooms and truffles,0.0053000385055830355,0.003302092669606952,1.4228445916588406e-14,0.022940552277045178,1.2284905910586461e-18,7.322948535122496e-16,0.00016994867056805682,0.0011806804810371666,6.322667582210356e-20,Fruit and vegetables
Nuts nes,0.001433698460946195,0.0021635605947945527,1.8363919191846403e-12,0.06181472386351527,1.1406994711746075e-16,3.4939371892948104e-13,0.0004116411504795688,0.011760929695694764,2.1703059474991945e-17,"Legumes, beans, nuts"
Oats,0.0055588139329760585,0.009056998183316085,6.516786325521844e-14,0.02533067355212716,2.3205148127114543e-18,3.197855852225301e-15,0.0004444364629646192,0.0012430028945746038,1.1387011179027107e-19,"Grains, roots, starchy carbohydrates"
Oil palm fruit,0.0066598862678197155,0.04985008931356936,1.316235250538783e-12,0.1508815388977935,2.447510476995947e-16,5.391060979742326e-14,0.0020417692902924963,0.006179834315958409,1.0024559230306525e-17,"Legumes, beans, nuts"
Olives,0.0027867446748690316,0.016827684065517996,3.1875768300410835e-13,0.2017853985906865,4.981650051910429e-17,3.1201180133638097e-14,0.0016471559110730874,0.01975150060833146,4.876223191470542e-18,Fruit and vegetables
Onions; dry,0.007881735157148385,0.003312358107119712,2.7365007999877317e-14,0.16636069871203107,9.51496029575588e-18,9.470682585044325e-16,0.00011463651770417784,0.005757533022226422,3.2930072145715217e-19,Fruit and vegetables
Onions; shallots; green,0.0009393888784684538,0.00039370092188167514,3.804799002970999e-15,0.006896567361920551,1.0905563531475553e-16,1.1048258939114059e-15,0.00011432166918988801,0.0020026041308895326,3.166724173303707e-17,Fruit and vegetables
Oranges,0.008558034520750454,0.002955156836675924,4.993684515102935e-13,0.3741241906755362,2.421879965451666e-16,1.591675776852186e-14,9.419200471135977e-05,0.011924750352804473,7.719445759527654e-18,Fruit and vegetables
Peaches and nectarines,0.0031440867641237867,0.0018633411082136196,1.459431074943685e-13,0.22066306689505916,6.3466957387970454e-18,1.2661833731459435e-14,0.00016166104519944256,0.019144439992186416,5.506310477314672e-19,Fruit and vegetables
Pears,0.003204256579652148,0.0018585872701928163,9.731371372647952e-14,0.05293891244153983,1.046199659912809e-17,8.284271073383675e-15,0.00015822066767582282,0.004506664931404269,8.906248921873371e-19,Fruit and vegetables
Peas; green,0.004164163617458206,0.0032918630433238726,8.799234774804127e-13,0.025234678019559628,2.3881438395783324e-17,5.764009121049097e-14,0.0002156361216920208,0.001653017767953767,1.5643727239921424e-18,Fruit and vegetables
Pepper (piper spp.),5.786145926627581e-05,0.0006697125398827388,1.7965095238391361e-13,0.0012282441939309077,2.0840973298939581e-16,8.469303201061846e-13,0.0031572326684353403,0.005790324150976289,9.825081333092808e-16,Stimulants and spices
Persimmons,7.957144128401324e-05,4.431021719542615e-05,1.4387675374731477e-14,0.005812575739604451,4.0693234421599607e-16,4.932203024971927e-14,0.0001518987477798322,0.019925945574297173,1.3949945956008976e-15,Fruit and vegetables
Pineapples,0.0012072463797943188,0.0018322763202083098,2.0528123344992724e-13,0.005468509382345668,9.72630954971029e-15,4.638321801076964e-14,0.0004140021500646479,0.001235607652061135,2.1976560092838967e-15,Fruit and vegetables
Pistachios,0.0001621066626903821,-4.9103865843125896e-05,4.126296233463415e-14,0.0061806570080095696,6.972436748130476e-19,6.943318346551799e-14,-8.26270711807384e-05,0.010400191059825247,1.1732518766068262e-18,"Legumes, beans, nuts"
Plums and sloes,0.0007008359864779051,0.0007166748986129363,1.3368257135922405e-13,0.04007490745981516,5.706951775178812e-16,5.203145085990433e-14,0.000278941633083219,0.015597811719281467,2.2212392971716376e-16,Fruit and vegetables
Potatoes,0.036340225320613144,0.014457900937494907,3.4415068644789924e-14,0.1858662277037616,2.4649507893535737e-15,2.5832626440967717e-16,0.00010852384398639422,0.001395148409500558,1.8502404744259975e-17,"Grains, roots, starchy carbohydrates"
Pulses nes,,,,,,,,,,"Legumes, beans, nuts"
Pumpkins; squash and gourds,0.0015955344112979315,0.0010244333584158644,1.3108390070649256e-13,0.09743334559162072,6.0729650725221925e-18,2.2410457396039182e-14,0.00017513989139875333,0.016657467687230858,1.0382504967572397e-18,Fruit and vegetables
Quinoa,,,,,,,,,,"Grains, roots, starchy carbohydrates"
Rapeseed,0.005962371137398357,0.022769226134767676,4.0076621627164547e-13,0.08880818628595123,4.2920126172956015e-17,1.8334946108623226e-14,0.0010416859434904354,0.004062950526882252,1.963584175526061e-18,"Legumes, beans, nuts"
Raspberries,0.001480632116346333,0.0019979332466879673,4.2096013886253935e-14,0.07105596624151461,2.2782794738021967e-18,7.755349028540236e-15,0.0003680792605603308,0.013090641319440054,4.1972744858069865e-19,Fruit and vegetables
Rice; paddy,0.010232360639238292,0.03755135141852518,1.3833971003556799e-12,0.36462802786803644,4.841957644813431e-16,3.687895122751508e-14,0.0010010534626211192,0.009720346567498943,1.2907813655447002e-17,"Grains, roots, starchy carbohydrates"
Soybeans,0.0017111057838660275,,,,,,,,,"Legumes, beans, nuts"
Spices nes,0.0011193512282330065,0.01230227939865497,7.314882116857228e-13,0.04112970456481646,2.680125049348969e-17,1.7825777889129582e-13,0.002997966291009176,0.010022977356372444,6.531248635530084e-18,Stimulants and spices
Spinach,0.0006277103517569997,0.00039205937064538786,8.278889642710245e-15,0.0379822749457308,1.048198199169541e-16,3.597661859889515e-15,0.00017037273178597984,0.01650552040446801,4.5550343651188055e-17,Fruit and vegetables
Strawberries,0.004632869119828408,0.0058584258921668825,1.407154769088163e-14,0.13225036944548133,4.148834116600037e-18,8.285130909358597e-16,0.0003449359409898535,0.007786717195130375,2.4427756301119997e-19,Fruit and vegetables
Sugar beet,0.002115411188608086,0.0030648135536765577,9.650254674608077e-16,0.014767560428304223,1.1266961858835343e-19,1.2443756867463193e-16,0.00039519987805509206,0.001904239190483867,1.452845947944086e-20,Sugar crops
Sugar cane,0.04512233318526691,0.13623412760516668,1.6308679873462692e-12,0.6883311862413447,2.9859947168640256e-15,9.85904387376873e-15,0.0008235726322333949,0.0041611506372623485,1.8051156285375968e-17,Sugar crops
Sunflower seed,0.004330417449023005,0.0057012774696514265,1.7411686392058905e-13,0.10746047750454564,3.875365437783419e-17,1.0967776999828616e-14,0.00035912856740747843,0.006769031597665872,2.4411273530539216e-18,"Legumes, beans, nuts"
Tangerines; mandarins; clementines; satsumas,0.00020790923039697693,6.90176992099563e-05,1.2683683995173303e-14,0.012909752604402172,4.607351554144975e-17,1.6640990854105796e-14,9.05512075010203e-05,0.016937592824007416,6.044844313635792e-17,Fruit and vegetables
Tea,0.0020556964912615736,0.015366919674813283,1.2025766531155762e-12,0.03472121148597654,2.4551839071574527e-16,1.5957369922477148e-13,0.0020390851692047678,0.004607267357160651,3.257861171071559e-17,Stimulants and spices
Tomatoes,0.02640192636154807,0.04647968526164215,9.439220923885113e-14,1.4125649356398375,6.855110025234605e-17,9.752322954170588e-16,0.00048021431549794506,0.014594201743110461,7.082496255945671e-19,Fruit and vegetables
Vegetables; fresh nes,0.008968510443277747,0.005155014267210853,4.765159573295375e-13,0.304621885615983,2.0253664170635413e-16,1.449321283205134e-14,0.0001567895424649547,0.009265061859156282,6.160143452465995e-18,Fruit and vegetables
Vegetables; leguminous nes,0.000554480084214437,0.0003187098641505342,2.946070139748206e-14,0.018833313498175522,1.1635052731907904e-15,1.4493212832051345e-14,0.00015678954246495472,0.009265061859156286,5.723872398031029e-16,Fruit and vegetables
Walnuts; with shell,0.0002458701356658943,0.00021035430519772053,6.140894440824737e-14,0.010312829730415437,9.08615417349586e-19,6.812921589492263e-14,0.0002333743725990057,0.011441411507094535,1.0080495037096165e-18,"Legumes, beans, nuts"
Water,0.18161451436303325,,,,,,,,,
Watermelons,0.002205638245928922,0.0024563280571797464,1.9540953173191894e-13,0.09342525087315036,3.457632239332869e-14,2.416679174088502e-14,0.0003037803124496167,0.011554137411724653,4.276141368536853e-15,Fruit and vegetables
Wheat,0.07862278029496886,0.1574093897366274,5.074721365017608e-13,0.46227708518007626,1.2184932575993955e-15,1.7606431588600108e-15,0.0005461221321245105,0.0016038417264259467,4.227486917603368e-18,"Grains, roots, starchy carbohydrates"
