,Item,Group,tonnage,Pasture_m2,Arable_m2,Scarcity_weighted_water_l,ghg_food,ghg_feed,ghg_total,bd_opp_food,bd_opp_feed,bd_opp_total,bd_opp_food_err,bd_opp_feed_err,bd_opp_total_err,Cons,Cons_err,primary_tonnage
10,Barley,"Grains, roots, starchy carbohydrates",882078.5252520033,0.0,1487757352.4844155,4588398956.239198,979997006.3551035,0.0,979997006.3551035,0.005705475876333721,0.0,0.005705475876333721,0.0012792796310107026,0.0,0.0012792796310107026,882078.5252520033,15345.11147594887,6134329.813366363
11,Beans; dry,"Legumes, beans, nuts",12812.807904396996,0.0,86859314.36589901,256723542.10852954,20254417.604905687,0.0,20254417.604905687,0.005124120764882578,0.0,0.005124120764882578,0.00314444727312808,0.0,0.00314444727312808,12812.807904396996,889.8839626787335,83820.74420116341
12,Blueberries,Fruit and vegetables,17993.44,0.0,20363513.512801386,1019383083.7927,22606104.510895994,0.0,22606104.510895994,0.0007166509111106977,0.0,0.0007166509111106977,0.0002815219201545781,0.0,0.0002815219201545781,17993.44,1257.0537605149877,17994.23494163611
13,Brazil nuts; in shell,"Legumes, beans, nuts",4276.7300000000005,0.0,48494109.70914823,48388981.5298,27671345.685393274,0.0,27671345.685393274,0.007954023949474314,0.0,0.007954023949474314,0.002222630050984545,0.0,0.002222630050984545,4276.73,862.6586170012777,4276.73
14,Broad beans and horse beans; dry,"Legumes, beans, nuts",7358.642049452178,0.0,19944719.359337747,33937079.88123671,12669360.000991808,0.0,12669360.000991808,0.0013780967580163288,0.0,0.0013780967580163288,7.5519095076998325e-06,0.0,7.5519095076998325e-06,7358.642049452178,30.02152563993654,477614.52629685216
15,Broad beans and horse beans; green,Fruit and vegetables,32818.66624953295,0.0,73760013.05048549,305055347.428335,56212981.74605134,0.0,56212981.74605134,0.00048795452320652284,0.0,0.00048795452320652284,0.00016547350025718655,0.0,0.00016547350025718655,32818.66624953295,461.73267392425396,33170.51789292097
16,Buckwheat,"Grains, roots, starchy carbohydrates",464.833775915705,0.0,4743042.091611046,8595385.647610338,612989.6733369792,0.0,612989.6733369792,4.2417470707784454e-05,0.0,4.2417470707784454e-05,3.648125395271814e-05,0.0,3.648125395271814e-05,464.833775915705,345.5169179059302,3112.4389876758787
17,Cabbages,Fruit and vegetables,242755.98760870693,0.0,94759886.25885014,3016969530.537219,151915088.91768336,0.0,151915088.91768336,0.0005634627580915317,0.0,0.0005634627580915317,0.00013059766754050498,0.0,0.00013059766754050498,242755.98760870693,4390.014882917546,249478.99709224945
18,Cantaloupes and other melons,Fruit and vegetables,144076.20053154993,0.0,56939768.8957645,3671790512.314,199305227.86707854,0.0,199305227.86707854,0.01776068252235689,0.0,0.01776068252235689,0.007284221899847142,0.0,0.007284221899847142,144076.2005315499,8010.756030103465,146721.71588948116
19,Carrots and turnips,Fruit and vegetables,923550.0185071062,0.0,148879893.8990322,6083763192.193168,345312544.5039643,0.0,345312544.5039643,0.02720157983382571,0.0,0.02720157983382571,0.0006594904384123166,0.0,0.0006594904384123166,923550.0185071062,1474.141964111422,935229.9163326317
