,bd_opp_total_err,kgCO2_per_kg,exp_extinctions_per_kg,exp_extinctions_err_per_kg,scarcity_weighted_water_use_litres_per_kg
Maize; green,0.006740817991784749,0.7108503767030857,1.4185181656817663e-11,3.7124606963916366e-11,15.102911869492248
Mangoes; mangosteens; guavas,0.022994907112244663,1.2643823861933634,7.347671518472465e-11,3.4463634481006647e-10,29.444773461102784
Meat nes,16.930914933204175,24.532926164213183,6.104642129226037e-10,8.731266567924559e-08,15.558056648707016
Meat; cattle,84.44881942527132,7.9028168045014,5.824437434792592e-11,2.1401727187247215e-08,8.459880736086918
Meat; chicken,91.28583440911542,2.511394773439885,2.2837281377387586e-11,1.1424309683287805e-08,9.32780973425137
Meat; duck,0.25678918617199675,2.5501685409911143,1.1275328566783947e-11,1.9406369991999988e-09,6.881560264131143
Meat; goat,0.011368279207909308,9.924392159395039,1.780145558311019e-10,2.6268876020060045e-08,31.91563820229158
Meat; goose and guinea fowl,0.008670145691311588,2.455344081636276,9.779564703758755e-12,8.894646626111743e-10,14.127092280040726
Meat; horse,0.02088988486606965,8.787929941476648,5.454893885791697e-11,2.081700857290832e-09,8.248376779472911
Meat; pig,32.61382641905295,2.7548499731510594,1.274706371188203e-11,5.238742331941204e-09,10.893672686819267
Meat; rabbit,0,0,0,0,0
Meat; sheep,102.93837981083787,10.475939471027637,4.761836356875722e-10,1.2661293701201366e-07,10.775842014966182
Meat; turkey,2.245150230931204,2.5797250504282236,1.3025740037517293e-11,3.1187257007596317e-09,7.995356061283564
Melons; other (inc.cantaloupes),0.011602997568766989,1.323282055859952,2.9703186733270774e-11,9.392972390150872e-11,29.269554576467815
Milk; whole fresh cow,66.55427449458072,1.9829900868089685,7.557415171259723e-12,3.5842994090563153e-09,6.32453028794455
Mushrooms and truffles,0.0004619951742229404,0.6253246294738772,1.2103376824693227e-12,2.2630029964612903e-12,3.063264727138929
Mustard seed,0.00163408386409531,1.1203356799468145,4.948281014677259e-11,1.7141348261728577e-10,19.46155128811194
Nutmeg; mace and cardamoms,0.00735470616877495,10.341403953426736,2.214717681829178e-09,6.26416772856758e-09,16.68996304096409
Nuts nes,0.02629010819487393,2.0213582021086736,1.632785157508785e-10,7.765132352771329e-10,46.1885315208338
Oats,0.0009340048617434,1.6292962918712945,2.813949166651202e-12,3.934563086705544e-12,4.608059999999999
Olives,0.03140167815333864,6.032274153210084,5.912773937024565e-11,1.547783988867851e-10,73.73366477548149
Onions; dry,0.001604111708879892,0.4186106144354315,8.883976234374738e-13,2.682130983533412e-12,28.07082695824599
Onions; shallots; green,9.963729955464088e-05,0.41284364298799453,3.0970297516536783e-12,5.8165694245319525e-12,10.950654950366246
Oranges,0.014221878533782659,0.3566027359304606,9.565554068696118e-12,3.1347024844729044e-11,50.80221420800231
Papayas,0.0002804454103207466,1.7125294825461506,1.4927803029708905e-11,4.222220302383486e-11,3.298738855224652
Peaches and nectarines,0.0019316487225709065,0.577329690310517,8.959991977345172e-12,2.5342684353250665e-11,73.38914444518593
Pears,0.0016959827993226959,0.5860553986167555,3.3319774134704846e-12,1.2788022892743233e-11,15.939443135731343
Peas; dry,0.00012657661028659574,0.7793915161565494,4.9762398739024405e-12,1.0472263020097847e-11,6.011657074071147
Peas; green,0.005433040097156153,0.7858838066254518,1.6114274970704454e-11,3.6110600576741726e-11,5.597916162321484
Pepper (piper spp.),0.014283810269102493,11.679600128716968,3.809246680924234e-10,1.3195617828944075e-09,18.98924532855756
Persimmons,0.0004619461199619093,1.684230511790936,1.9413612236677962e-11,3.8827224512875054e-11,8.178729446332708
Pineapples,0.028071925712024406,1.561007884254619,6.25016324395636e-11,1.759346167120545e-10,2.9624028946106726
Pistachios,0.000244440719681,-0.415891051797879,3.826891766209266e-11,5.412042248236084e-11,36.48784
Plantains and others,0.009322174058996187,0.9081273042723679,1.1783631435763992e-10,2.88638843346383e-10,1.056942048754623
Plums and sloes,0.006711830182220305,1.0762932074078213,2.765269831119807e-11,9.557576579913417e-11,57.44708008548338
Potatoes,0.002827927864488662,0.3966294965800542,4.2447667832254317e-13,6.402079689438156e-13,4.239966843211032
Pulses nes,4.541235800561667e-05,1.7218187508495657,4.656458041744743e-12,6.5852261152566795e-12,4.60806
Pumpkins; squash and gourds,0.003966379901471807,0.6491485154807785,1.5562998493066163e-11,6.22519939723412e-11,64.18998890748884
Quinces,3.953056809971972e-06,0.6151114759108107,5.379826349601692e-12,7.608223386819139e-12,57.39212
Quinoa,0.0019529000369674337,1.1805411023655321,3.6882898082854087e-10,9.034428053808873e-10,22.385261138579654
Rapeseed,0.005456108393235043,3.615816745806656,6.444504438617933e-12,1.0715279759462245e-11,6.876605643206428
Raspberries,0.0011062259218974273,1.289153259831445,8.696326198607364e-12,2.643285498971205e-11,44.67657591071908
Rice; paddy,0.03259675348085677,3.6311501227612335,5.488778870913548e-11,1.3912847580673995e-09,33.286059942108615
Sesame seed,0.021063565933100176,1.7465684596683693,6.350016387675725e-10,2.501806713782232e-09,25.641875576730964
Soybeans,0.053448115895739015,0.9734979737776088,7.447845280087248e-11,2.216466748219996e-10,14.106237817892433
Spices nes,0.004070719682454979,12.403241034314245,7.699783948244172e-11,2.880995395232445e-10,33.92207232505464
Spinach,0.00023097881698872793,0.6253246294738771,6.237700135914702e-12,1.764288026426803e-11,68.38485772170259
Strawberries,0.00046193651749556027,1.2365213328453155,1.1125077641859199e-12,2.501793524745953e-12,20.717428825303283
Sunflower seed,0.01459605746681247,1.2970222439457904,2.5824389887249817e-11,1.0579839981868673e-10,22.346502364331435
Tangerines; mandarins; clementines; satsumas,0.010854435038940466,0.3506066556361905,1.3754378901173652e-11,4.349516512867375e-11,64.72234199168993
Tea,0.04624742685072711,7.479968131678331,1.0978223680560361e-10,4.657665894719108e-10,15.487972753257079
Tomatoes,0.008331379417127636,1.6405317567636348,1.5567585273276663e-12,4.600085301720906e-12,54.074626124475785
Vegetables; fresh nes,0.04265210742017333,0.5318565323759584,9.43702664928846e-12,2.7188529967307134e-11,42.66110972930163
Vegetables; leguminous nes,0.04265210742017333,0.5318565323759584,9.43702664928846e-12,2.7188529967307134e-11,42.66110972930163
Walnuts; with shell,0.00017208302094730366,1.346525672614141,8.766043630182222e-11,3.2799531947422244e-10,43.40415636958994
Watermelons,0.012398271592582943,0.9751728175627759,2.5060835581463024e-11,9.376906061424035e-11,50.65389949414069
Wheat,0.014730137448278828,2.0149012695458226,1.909951296072435e-12,2.8725222493013002e-12,4.7969668143899105
Sugar cane,4.1990810129441625e-06,2.824505204915773,1.2254061028891438e-11,6.248369713919018e-11,20.9833612546157
Oil palm fruit,0.0942901645038785,7.378418987382101,2.0625606569579736e-11,5.62497010800663e-11,23.77330583771753
Sugar beet,0.004103439375542153,1.4452561509565236,2.6882447492265176e-13,6.038121713131488e-13,5.828507584914218
Cassava,0.0005252049075082509,1.400286399865387,2.1069426538195553e-11,5.1609344191626146e-11,21.30815876295867
Cheese,66.55427449458072,1.9829900868089685,7.557415171259723e-12,3.5842994090563153e-09,6.32453028794455
"Butter, Cream & Ghee",66.55427449458072,1.9829900868089685,7.557415171259723e-12,3.5842994090563153e-09,6.32453028794455
Water,0,0,0,0,0
Fish,0,0,0,0,0
Crustaceans,0,0,0,0,0
