,kgCO2_per_kg,exp_extinctions_per_kg,scarcity_weighted_water_use_litres_per_kg
Almonds; with shell,-0.3459159184385589,5.459721537250101e-11,43.883952625294164
Anise; badian; fennel; coriander,11.555763350029242,1.4288423196043082e-10,33.524196166052796
Apples,0.3760471351383822,2.4146647961511036e-12,15.51489394010682
Apricots,0.5987684230622553,1.9350656670784935e-11,58.41433333462986
Areca nuts,1.227110506716329,2.586466765926186e-10,17.888883582077124
Artichokes,0.6337726143857543,7.0562734576290676e-12,47.05913300148095
Asparagus,0.5381488887200214,6.941750804437317e-11,22.116947560062325
Avocados,1.408219725560013,1.1783333288119303e-10,44.536491866987504
Bananas,0.8777566239078408,5.612856223760216e-11,6.064043453162784
Barley,1.1116579712722485,2.6330625713308877e-12,4.60806
Beans; dry,1.5952138516459187,8.303276724553141e-11,20.008250762522586
Beans; green,1.7218187508495655,3.173599558178171e-12,4.60806
Berries nes,1.245506670396558,8.599851033469057e-12,30.806777745986903
Blueberries,1.2363688445897978,1.3792106924000571e-11,56.83193834532638
Brazil nuts; with shell,6.504083368323686,2.201798288470573e-10,8.042454262513125
Broad beans; horse beans; dry,1.7218187508495655,3.4056170002810613e-12,4.608060000000001
Cabbages and other brassicas,0.6272916062722839,9.87001371469537e-13,11.151836579671345
Carrots and turnips,0.3738536223896168,2.276477281953027e-13,4.60806
Cashew nuts; with shell,0.22785801394797559,5.88763644525629e-10,13.745423529035836
Cauliflowers and broccoli,0.6279898548324124,5.0083034281411985e-12,31.85325788430997
Cherries,0.7032963083762918,2.6953058377015264e-11,46.21297276707947
Cherries; sour,1.2305033281308004,1.4300520631104637e-11,31.494212024456523
Chestnut,0.47235097692689215,4.386227469200806e-11,51.715887940633834
Chick peas,1.4406775587473217,3.497407000719607e-10,37.71318747948451
Chillies and peppers; dry,0.6972545675636599,6.88240083581408e-11,34.71310642275972
Chillies and peppers; green,0.5341168190718998,1.0919882064978125e-12,43.37609245505553
Cinnamon (cannella),12.112061124189363,1.3146048338600956e-09,27.115356639600307
Cocoa; beans,2.405903879112475,8.009985062076382e-10,10.370203029152174
Coconuts,0.6389113747985071,1.6854442566993123e-10,11.57599494338177
Coffee; green,16.67844432104705,6.592936959674683e-10,12.292019841686866
Cranberries,1.227012564437846,1.7494307893256928e-11,29.879539999999995
Cucumbers and gherkins,0.5367577849746769,4.996823799789824e-13,36.02151391527629
Currants,1.2270125644378462,3.260745178856619e-12,4.520799898906151
Dates,0.5940994615766345,1.9982314659974485e-11,58.766165484293396
Eggplants (aubergines),0.6342231198255055,9.558351711018903e-13,51.49348112553918
Eggs; hen; in shell,2.7998685204189857,1.0166037121854443e-11,8.573426548318881
